D[m],Cc,Cs,L [mm],M [Nmm],N [N],As
0.873468933,0.5,1.2,1.4,1,0.333333333,0.778105158
0.873000953,0.75,1.2,1.4,1,0.333333333,0.778105158
0.873388194,1,1.2,1.4,1,0.333333333,0.778105158
0.874241681,1.25,1.2,1.4,1,0.333333333,0.778105158
0.873644679,1.5,1.2,1.4,1,0.333333333,0.778105158
0.875759781,0.5,1.4,1.4,1,0.333333333,0.778105158
0.872828738,0.75,1.4,1.4,1,0.333333333,0.778105158
0.87255275,1,1.4,1.4,1,0.333333333,0.778105158
0.875894781,1.25,1.4,1.4,1,0.333333333,0.778105158
0.873731134,1.5,1.4,1.4,1,0.333333333,0.778105158
0.964691545,0.5,0.6,0.6,1.333333333,0.333333333,0.902723563
0.958332488,0.75,0.6,0.6,1.333333333,0.333333333,0.893605143
0.957571208,1,0.6,0.6,1.333333333,0.333333333,0.902723563
0.959608846,1.25,0.6,0.6,1.333333333,0.333333333,0.902723563
0.963748284,1.5,0.6,0.6,1.333333333,0.333333333,0.902723563
0.957746657,0.5,0.8,0.6,1.333333333,0.333333333,0.902723563
0.960061764,0.75,0.8,0.6,1.333333333,0.333333333,0.893605143
0.958356566,1,0.8,0.6,1.333333333,0.333333333,0.893605143
0.961110045,1.25,0.8,0.6,1.333333333,0.333333333,0.902723563
0.959662879,1.5,0.8,0.6,1.333333333,0.333333333,0.902723563
0.959490881,0.5,1,0.6,1.333333333,0.333333333,0.893605143
0.95849627,0.75,1,0.6,1.333333333,0.333333333,0.902723563
0.959297861,1,1,0.6,1.333333333,0.333333333,0.893605143
0.958366204,1.25,1,0.6,1.333333333,0.333333333,0.902723563
0.959132006,1.5,1,0.6,1.333333333,0.333333333,0.902723563
0.959437779,0.5,1.2,0.6,1.333333333,0.333333333,0.893605143
0.957440732,0.75,1.2,0.6,1.333333333,0.333333333,0.902723563
0.958406094,1,1.2,0.6,1.333333333,0.333333333,0.893605143
0.960369158,1.25,1.2,0.6,1.333333333,0.333333333,0.893605143
0.958262489,1.5,1.2,0.6,1.333333333,0.333333333,0.893605143
0.957920961,0.5,1.4,0.6,1.333333333,0.333333333,0.893605143
0.958149259,0.75,1.4,0.6,1.333333333,0.333333333,0.893605143
0.960427122,1,1.4,0.6,1.333333333,0.333333333,0.893605143
0.957489942,1.25,1.4,0.6,1.333333333,0.333333333,0.902723563
0.963316456,1.5,1.4,0.6,1.333333333,0.333333333,0.902723563
0.96078052,0.5,0.6,0.8,1.333333333,0.333333333,0.893605143
0.960430165,0.75,0.6,0.8,1.333333333,0.333333333,0.893605143
0.958916096,1,0.6,0.8,1.333333333,0.333333333,0.893605143
0.958395482,1.25,0.6,0.8,1.333333333,0.333333333,0.893605143
0.958525015,1.5,0.6,0.8,1.333333333,0.333333333,0.902723563
0.959238836,0.5,0.8,0.8,1.333333333,0.333333333,0.893605143
0.958282876,0.75,0.8,0.8,1.333333333,0.333333333,0.893605143
0.956826483,1,0.8,0.8,1.333333333,0.333333333,0.902723563
0.958904513,1.25,0.8,0.8,1.333333333,0.333333333,0.893605143
0.95878605,1.5,0.8,0.8,1.333333333,0.333333333,0.893605143
0.958038609,0.5,1,0.8,1.333333333,0.333333333,0.893605143
0.95843562,0.75,1,0.8,1.333333333,0.333333333,0.902723563
