D[m],Cc,Cs,L [mm],M [Nmm],N [N],As
0.539887173,150,1500,7000,300000000,1000000,2412.743158
0.541194244,50,1750,7000,300000000,1000000,2412.743158
0.539382944,75,1750,7000,300000000,1000000,2412.743158
0.539212391,100,1750,7000,300000000,1000000,2412.743158
0.541277671,125,1750,7000,300000000,1000000,2412.743158
0.539940599,150,1750,7000,300000000,1000000,2412.743158
0.596151505,50,750,3000,400000000,1000000,2799.159054
0.592221791,75,750,3000,400000000,1000000,2770.88472
0.591751343,100,750,3000,400000000,1000000,2799.159054
0.593010544,125,750,3000,400000000,1000000,2799.159054
0.595568597,150,750,3000,400000000,1000000,2799.159054
0.591859765,50,1000,3000,400000000,1000000,2799.159054
0.593290435,75,1000,3000,400000000,1000000,2770.88472
0.592236671,100,1000,3000,400000000,1000000,2770.88472
0.593938242,125,1000,3000,400000000,1000000,2799.159054
0.593043935,150,1000,3000,400000000,1000000,2799.159054
0.592937645,50,1250,3000,400000000,1000000,2770.88472
0.592323004,75,1250,3000,400000000,1000000,2799.159054
0.592818364,100,1250,3000,400000000,1000000,2770.88472
0.592242627,125,1250,3000,400000000,1000000,2799.159054
0.592715871,150,1250,3000,400000000,1000000,2799.159054
0.59290483,50,1500,3000,400000000,1000000,2770.88472
0.591670712,75,1500,3000,400000000,1000000,2799.159054
0.592267278,100,1500,3000,400000000,1000000,2770.88472
0.593480395,125,1500,3000,400000000,1000000,2770.88472
0.592178534,150,1500,3000,400000000,1000000,2770.88472
0.59196748,50,1750,3000,400000000,1000000,2770.88472
0.592108561,75,1750,3000,400000000,1000000,2770.88472
0.593516215,100,1750,3000,400000000,1000000,2770.88472
0.591701123,125,1750,3000,400000000,1000000,2799.159054
0.59530174,150,1750,3000,400000000,1000000,2799.159054
0.593734605,50,750,4000,400000000,1000000,2770.88472
0.593518095,75,750,4000,400000000,1000000,2770.88472
0.592582444,100,750,4000,400000000,1000000,2770.88472
0.59226072,125,750,4000,400000000,1000000,2770.88472
0.592340768,150,750,4000,400000000,1000000,2799.159054
0.592781889,50,1000,4000,400000000,1000000,2770.88472
0.592191133,75,1000,4000,400000000,1000000,2770.88472
0.591291124,100,1000,4000,400000000,1000000,2799.159054
